DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,DiscapacidadDelSolicitante,NumeroDeTitularesConAlgunaDiscapacidad
Sucre,Majagual,70429,No,68
Santander,Macaravita,68425,No,25
Nariño,Cumbitara,52233,No,184
Cundinamarca,Sibaté,25740,No,6
Norte Santander,La Playa,54398,Si,2
Bolívar,El Guamo,13248,No,42
Córdoba,Montelíbano,23466,No,251
Casanare,Monterrey,85162,Si,10
Magdalena,Zona Bananera,47980,Si,45
Cundinamarca,Guayabal De Siquima,25328,No,18
Huila,Hobo,41349,Si,1
Santander,Macaravita,68425,Si,2
Meta,Castilla La Nueva,50150,No,10
Nariño,La Tola,52390,Si,8
Norte Santander,Lourdes,54418,No,3
Chocó,Riosucio,27615,No,1202
Córdoba,San Bernardo Del Viento,23675,Si,1
Nariño,Los Andes,52418,Si,27
Cundinamarca,Guayabetal,25335,No,14
Santander,Molagavita,68468,No,6
Huila,Baraya,41078,No,193
Nariño,Magüi,52427,No,108
Magdalena,Pedraza,47541,Si,1
Huila,Algeciras,41020,No,208
Nariño,La Unión,52399,Si,17
Cundinamarca,Gutiérrez,25339,Si,1
Boyacá,Caldas,15131,No,2
Norte Santander,Silos,54743,No,2
Bolívar,Arjona,13052,Si,9
Córdoba,San Bernardo Del Viento,23675,No,14
Cauca,López,19418,Si,16
Santander,Tona,68820,No,1
Amazonas,El Encanto,91263,Si,1
Cundinamarca,Tibacuy,25805,Si,4
Antioquia,Turbo,05837,No Reporta,1
Meta,Vistahermosa,50711,Si,92
Antioquia,Yondó,05893,Si,35
Córdoba,San Pelayo,23686,Si,1
Boyacá,Berbeo,15090,No,4
Sucre,San Onofre,70713,Si,36
Antioquia,Alejandría,05021,Si,1
Bolívar,Barranco De Loba,13074,No,60
Cundinamarca,Fusagasugá,25290,No,26
Caldas,Palestina,17524,No,3
Huila,Algeciras,41020,Si,35
Norte Santander,Arboledas,54051,Si,14
Risaralda,Mistrató,66456,No,84
Tolima,Saldaña,73671,Si,2
Boyacá,Aquitania,15047,No,39
Bolívar,San Fernando,13650,No,1
Boyacá,Tutazá,15839,No,1
Magdalena,Sitionuevo,47745,Si,25
Santander,Charalá,68167,No,5
Valle Del Cauca,Cali,76001,No,275
Cundinamarca,Facatativá,25269,No,1
Antioquia,Ituango,05361,No,269
Antioquia,Caramanta,05145,No,18
Cesar,Aguachica,20011,Si,31
Cundinamarca,El Peñón,25258,No,61
Cauca,Mercaderes,19450,Si,3
Cundinamarca,Tocancipá,25817,Si,1
Antioquia,Apartadó,05045,Si,102
Cesar,Aguachica,20011,No,187
